min_carry_spread,momentum_weight,trend_filter_sma,atr_stop_multiplier,composite_threshold,tp_multiplier,max_risk_per_pair,total_return,sharpe,sortino,max_drawdown,num_trades,win_rate,profit_factor,avg_holding_days
0.01,0.7,20,2.5,0.05,2.5,0.025,-0.00451325859247605,-0.2398204396574148,-0.2917136200787845,0.017134365228460832,60,0.3333333333333333,0.930068121496242,86.81666666666666
0.01,0.7,20,2.5,0.05,2.5,0.015,-0.0027016424973183894,-0.24008750017447492,-0.29195214317564655,0.010314526244619945,60,0.3333333333333333,0.9306491454380352,86.81666666666666
0.005,0.6,50,2.5,0.05,3.0,0.02,-0.0037447365461128358,-0.24440418035221384,-0.3168829148581759,0.012394874669365142,50,0.26,0.8912757012596942,103.72
0.01,0.6,50,2.5,0.03,3.0,0.015,-0.002544098687310761,-0.2456876658957204,-0.3165530249467171,0.006308869278941022,61,0.26229508196721313,0.951213558659693,92.62295081967213
0.02,0.7,20,2.5,0.1,3.0,0.025,-0.003431264761078637,-0.24676656728450608,-0.28103861804710945,0.009891434409253908,31,0.25806451612903225,0.8623982044725506,94.29032258064517
0.015,0.5,20,2.0,0.1,2.5,0.025,-0.003353329934074718,-0.2470885029592672,-0.2598579882574731,0.009277466795903043,51,0.29411764705882354,0.9509079471226652,48.6078431372549
0.015,0.6,20,3.0,0.02,2.5,0.025,-0.004330165477609699,-0.24943791112534175,-0.33264936981956356,0.01208275556720987,50,0.32,0.9201941611000881,118.68
0.01,0.4,20,3.0,0.02,2.5,0.01,-0.0017776861641123833,-0.24991094403391736,-0.30572823389447246,0.004763833664049296,51,0.29411764705882354,0.9188649618836463,116.41176470588235
0.01,0.4,20,2.5,0.03,4.0,0.01,-0.0018674452727239987,-0.249948683572054,-0.30224766212075777,0.0046116605120077635,44,0.25,0.872806902141595,131.1818181818182
0.015,0.6,20,3.0,0.02,2.5,0.015,-0.0026045715422049398,-0.25077999059673567,-0.3343837745272596,0.007273806220428638,50,0.32,0.9200216159476982,118.68
0.015,0.6,50,3.0,0.03,2.5,0.01,-0.0017354457244598597,-0.2516180422135321,-0.3367230657336291,0.004759592119283943,57,0.3157894736842105,0.9415493923901199,100.47368421052632
0.01,0.5,20,2.5,0.02,2.5,0.025,-0.0050150324003999415,-0.25254802074499655,-0.32067793453833104,0.013734698862395497,63,0.30158730158730157,0.9214649590448357,93.71428571428571
0.01,0.7,20,2.0,0.08,4.0,0.025,-0.0042886129579113915,-0.2531756227993705,-0.3014859558418289,0.012695397973846917,48,0.20833333333333334,0.8834186656315981,76.45833333333333
0.01,0.7,20,2.0,0.08,3.0,0.01,-0.001732955292410479,-0.25823939572555127,-0.3009840753839534,0.004755670442983459,57,0.24561403508771928,0.9157487254863118,63.228070175438596
0.02,0.7,20,2.5,0.1,4.0,0.015,-0.0021691282072903413,-0.2592157868331001,-0.29498719298896725,0.005988657940799153,28,0.21428571428571427,0.8318052043526607,104.53571428571429
0.02,0.7,50,2.5,0.1,2.0,0.015,-0.002202064272487769,-0.26195016701789625,-0.2961439461179213,0.005973415448450351,36,0.3333333333333333,0.8594300046238728,81.0
0.02,0.7,20,2.5,0.1,2.5,0.015,-0.002222470211279142,-0.26637287593875886,-0.3028901896352049,0.005481754432970224,36,0.2777777777777778,0.8710538065945614,81.22222222222223
0.01,0.7,50,2.5,0.05,2.5,0.015,-0.0030159645018403534,-0.26653308582998436,-0.32359116798531345,0.010690605211234078,59,0.3389830508474576,0.9058668290299294,86.94915254237289
0.015,0.5,20,3.0,0.08,1.5,0.025,-0.003789697433577967,-0.2671931875108937,-0.3185283612858452,0.010583033421985178,53,0.41509433962264153,0.9428141429203487,63.75471698113208
0.005,0.4,50,2.5,0.02,2.5,0.015,-0.0033816992982800003,-0.26986344249538086,-0.33057194040915366,0.008603764502626548,58,0.29310344827586204,0.881668107190632,100.8103448275862
0.005,0.5,50,3.0,0.1,2.5,0.01,-0.0017152295848901849,-0.26994543683747013,-0.3385714455504384,0.004216074774094763,30,0.23333333333333334,0.8066766859568054,109.6
0.02,0.7,50,3.0,0.08,1.5,0.02,-0.0032618580604778253,-0.2704860106129861,-0.31689834877529743,0.009325270525858199,45,0.4222222222222222,0.8971422467931631,74.82222222222222
0.02,0.7,50,3.0,0.08,1.5,0.01,-0.0016298777953763783,-0.2709756323391087,-0.31740635928281746,0.004672121203370598,45,0.4222222222222222,0.8975482485554149,74.82222222222222
0.01,0.7,20,2.0,0.1,2.5,0.025,-0.003874332932444813,-0.27210184513827707,-0.32358934686507784,0.011652535023649766,51,0.3137254901960784,0.9150643476634206,61.05882352941177
0.02,0.7,50,2.5,0.1,2.5,0.015,-0.0022846314420821726,-0.27252631347590783,-0.30873730317859854,0.005177138260460453,37,0.2702702702702703,0.8680297253101932,75.91891891891892
0.01,0.6,20,2.0,0.1,1.5,0.015,-0.002237164272983791,-0.2729338052347368,-0.32995247041134956,0.004365142046431096,90,0.4222222222222222,1.0310530179931485,28.92222222222222
0.01,0.6,20,2.0,0.1,1.5,0.01,-0.0014906774390746431,-0.27309991684702495,-0.33014022397168064,0.0029114111644268446,90,0.4222222222222222,1.0311302529881778,28.92222222222222
0.015,0.7,20,2.5,0.1,2.5,0.02,-0.0032362839299855113,-0.27882092423706767,-0.3124204485014866,0.008244204756269734,37,0.2702702702702703,0.8548935298593414,82.0
0.02,0.6,20,3.0,0.1,2.5,0.015,-0.002281628527714929,-0.281364542416982,-0.33409471279361463,0.004875883737999968,32,0.28125,0.855720116252764,92.09375
0.005,0.6,50,2.5,0.02,2.0,0.01,-0.0021372946398414204,-0.2850774401872152,-0.36323186029146337,0.006864998374313954,84,0.36904761904761907,0.9591067669802991,68.88095238095238
0.01,0.7,50,2.0,0.08,3.0,0.015,-0.002883744029872614,-0.2862096922855116,-0.3353138030727562,0.007373895350518227,56,0.25,0.8841191411368559,62.982142857142854
0.02,0.6,50,2.0,0.05,2.5,0.025,-0.0050653870890047985,-0.29449752032748233,-0.36731126393818514,0.015241633935423217,75,0.30666666666666664,0.9435319707015863,57.346666666666664
0.005,0.4,20,2.5,0.02,2.0,0.02,-0.0047199596752860815,-0.29513178091175024,-0.3549091570694998,0.011654080701073188,78,0.34615384615384615,0.9262569785860941,74.05128205128206
0.005,0.5,20,2.5,0.02,2.5,0.025,-0.00544440036171407,-0.29726717213307857,-0.3656837066517921,0.012353250367556884,61,0.29508196721311475,0.8981271868197627,96.80327868852459
0.01,0.6,20,3.0,0.02,2.5,0.025,-0.005083746579455619,-0.2973212594606261,-0.38279140857535965,0.012043902105579936,49,0.32653061224489793,0.8885526706119782,121.46938775510205
0.02,0.7,20,3.0,0.08,1.5,0.01,-0.0018471195331343916,-0.3001419236048565,-0.3583520591534306,0.004924446698242022,48,0.4166666666666667,0.8835182323242229,75.29166666666667
0.005,0.7,20,2.0,0.1,3.0,0.02,-0.003551402121371357,-0.30104176313523856,-0.34566169979416134,0.009405402913987365,51,0.2549019607843137,0.8891243572157437,63.0
0.02,0.6,20,2.0,0.08,4.0,0.025,-0.004206078476796247,-0.3018935458519666,-0.340051110836406,0.010662889845812653,43,0.20930232558139536,0.8686266564565241,76.23255813953489
0.01,0.5,20,3.0,0.05,4.0,0.02,-0.004495721999242523,-0.3033503128139061,-0.3611033673196666,0.010662111866592454,29,0.2413793103448276,0.731792084640322,195.0344827586207
0.01,0.5,20,3.0,0.05,4.0,0.015,-0.0033745999202491658,-0.3038773134652829,-0.361731016636733,0.00800984816840559,29,0.2413793103448276,0.7317738332658021,195.0344827586207
