min_carry_spread,momentum_weight,trend_filter_sma,atr_stop_multiplier,composite_threshold,total_return,sharpe,sortino,max_drawdown,num_trades,win_rate,profit_factor,avg_holding_days
0.01,0.2,20,2.5,0.05,-0.006107946043847624,-0.5276568905157305,-0.6494365137434158,0.009766926755496147,49,0.24489795918367346,0.6515640146429518,98.12244897959184
0.005,0.5,20,2.0,0.08,-0.005420579326024017,-0.5298895387164175,-0.6046284865993532,0.009360401664373746,74,0.25675675675675674,0.7768689758221028,50.78378378378378
0.005,0.3,100,2.5,0.08,-0.0061556077900869425,-0.535478343982948,-0.6451754639574805,0.009700282491748488,46,0.1956521739130435,0.635700248044822,93.95652173913044
0.01,0.3,100,2.5,0.05,-0.006239159773676511,-0.5367708950025293,-0.6600175472643471,0.009142179376734396,48,0.20833333333333334,0.6446765349240211,101.27083333333333
0.01,0.5,20,2.5,0.1,-0.00517718762902703,-0.5369887895278159,-0.6190126308154852,0.008363821717852942,46,0.21739130434782608,0.6906845358868439,67.26086956521739
0.015,0.4,20,2.0,0.1,-0.004146381329625874,-0.5385418205136819,-0.6187860410459339,0.007620624340405763,51,0.2549019607843137,0.7695704248866427,47.705882352941174
0.015,0.2,50,2.5,0.05,-0.0048872737585283176,-0.5390907353473173,-0.6119893811042845,0.007491602420546654,40,0.25,0.6664846938067279,80.8
0.015,0.2,100,2.5,0.05,-0.0048872737585283176,-0.5390907353473173,-0.6119893811042845,0.007491602420546654,40,0.25,0.6664846938067279,80.8
0.015,0.4,20,2.5,0.08,-0.005302921433984884,-0.5398791621293041,-0.5815094743365701,0.00846929153611567,54,0.24074074074074073,0.7484541270919172,66.29629629629629
0.005,0.5,20,2.0,0.05,-0.006288855847183586,-0.5460540616745566,-0.630052238483535,0.010341912322672628,87,0.27586206896551724,0.7925024940711831,57.12643678160919
0.01,0.5,100,2.0,0.05,-0.006113831677424896,-0.548149227006733,-0.6344552489327651,0.010774266773569217,82,0.2682926829268293,0.7849682683368114,58.28048780487805
0.005,0.4,20,2.5,0.1,-0.005816638901215047,-0.5483674451658905,-0.6246074358774186,0.009830384426335272,48,0.20833333333333334,0.6776278643253658,73.1875
0.005,0.5,50,2.0,0.05,-0.006216157957718387,-0.5484297522970984,-0.6449044099878408,0.010598805545932441,87,0.27586206896551724,0.7947401520942512,55.51724137931034
0.02,0.3,100,2.5,0.03,-0.005188575432676298,-0.5493624084938684,-0.6451935481677106,0.009056718519981773,52,0.23076923076923078,0.7470397262612442,87.11538461538461
0.01,0.3,50,2.5,0.08,-0.006027278157189721,-0.5572880074787531,-0.6874539511236,0.009049177103986538,43,0.20930232558139536,0.6206955011423958,100.30232558139535
0.02,0.2,50,2.5,0.03,-0.005176526290939509,-0.5618422766474744,-0.6245107367549044,0.007475961333911219,39,0.20512820512820512,0.657884548522987,80.43589743589743
0.02,0.4,20,2.5,0.05,-0.005220445727645711,-0.5631539454172978,-0.6639013613102261,0.0080398489882687,46,0.21739130434782608,0.7098924389967317,76.28260869565217
0.02,0.5,100,1.5,0.1,-0.003877382207537594,-0.5654306424772533,-0.6014475895604114,0.0064111130765303215,73,0.273972602739726,0.8538469988261642,27.52054794520548
0.01,0.5,20,2.0,0.08,-0.005779305659409728,-0.5665876233137369,-0.6250714657487785,0.009484464053204801,68,0.25,0.7280787963572466,52.794117647058826
0.02,0.3,20,2.0,0.08,-0.004544649148139288,-0.5728475014730652,-0.6209345443426552,0.007256548973814836,54,0.25925925925925924,0.7728168348243146,42.833333333333336
0.02,0.3,50,2.0,0.08,-0.004544649148139288,-0.5728475014730652,-0.6209345443426552,0.007256548973814836,54,0.25925925925925924,0.7728168348243146,42.833333333333336
0.02,0.3,20,2.0,0.05,-0.005393930336615885,-0.5741434446359115,-0.6084747800893008,0.009565815484226973,67,0.26865671641791045,0.7761363415906982,50.38805970149254
0.02,0.2,20,2.0,0.03,-0.005517539274317242,-0.5751340395346339,-0.6113983904315764,0.009502462837125594,67,0.26865671641791045,0.7699403700619922,51.07462686567164
0.02,0.5,50,1.5,0.1,-0.004010443256782018,-0.5763455005749355,-0.570362471166944,0.006436810183864836,74,0.2702702702702703,0.8471003314515952,26.472972972972972
0.005,0.4,50,2.0,0.03,-0.006697372023854841,-0.5778641882457791,-0.6841914211575044,0.010438420560128652,107,0.27102803738317754,0.8393535833705263,50.822429906542055
